id,image,title,price,type,grape,country,region,abv,bottlesize
41,//cdn.shopify.com/s/files/1/0097/8128/0834/products/RealCompanhiaVelha_RoyalOporto_Colheita2011TheGoodWineShop_1024x1024.jpg?v=1665584032,"Real Companhia Velha, Royal Oporto, Colheita 2011",35.00,Fortified ,Touriga Nacional,Portugal,Oporto,16%,75cl
42,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauSigalasRaubaud_LaSemillantedeSigalasBlancSec2017TheGoodWineShop_1024x1024.jpg?v=1665580617,"Chateau Sigalas Raubaud, La Semillante de Sigalas Blanc Sec 2017",41.50,White ,Semillon,France,Bordeaux,13.5%,75cl
43,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Landauer_KlassikPinotNoir2019TheGoodWineShop_1024x1024.jpg?v=1665577361,"Landauer, Klassik Pinot Noir 2019",17.50,Red ,Pinot Noir,Austria,Thermenregion,12.5%,75cl
44,//cdn.shopify.com/s/files/1/0097/8128/0834/products/LenkeyPinceszet_HarsleveluKishegy2006TheGoodWineShop_1024x1024.jpg?v=1665574474,"Lenkey Pinceszet, Harslevelu Kishegy 2006",45.00,White ,Harslevelu,Hungary,Tokaj-Hegyalja,12.5%,75cl
45,//cdn.shopify.com/s/files/1/0097/8128/0834/products/HeimannCsaladiBirtok_KekfrankosBatiKereszt2019TheGoodWineShop_1024x1024.jpg?v=1665572511,"Heimann Csaladi Birtok, Kekfrankos Bati Kereszt 2019",25.00,White ,Harslevelu,Hungary,Tokaj-Hegyalja,12.5%,75cl
46,//cdn.shopify.com/s/files/1/0097/8128/0834/products/LesPerrieresdeLafleur_BordeauxSuperieur2019TheGoodWineShop_1024x1024.jpg?v=1665497152,"Les Perrieres de Lafleur, Bordeaux Superieur 2019",72.00,Red ,Bouchet,France,Bordeaux,15%,75cl
47,//cdn.shopify.com/s/files/1/0097/8128/0834/products/GreenFlashSunset_Chardonnay2021TheGoodWineShop_1024x1024.jpg?v=1665493979,"Green Flash Sunset, Chardonnay 2021",15.75,White ,Chardonnay,South Africa,Banghoek,12.5%,75cl
48,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Osmote_CabernetFranc2020TheGoodWineShop_1024x1024.jpg?v=1665491935,"Osmote, Cabernet Franc 2020",29.00,White ,Chardonnay,South Africa,Banghoek,12.5%,75cl
49,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DistantNoises_CabernetSauvignon2019TheGoodWineShop_1024x1024.jpg?v=1665487799,"Distant Noises, Cabernet Sauvignon 2019",17.00,Red ,Cabernet Sauvignon,Australia,Yarra Valley,13%,75cl
50,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ElsVilLusionistes_UnanimSimbiosiDOPriorat2018TheGoodWineShop_2_1024x1024.jpg?v=1668512775,"Els Vil Lusionistes, Unanim Simbiosi DO Priorat 2018",27.50,Red ,Carignan,Spain,Priorat,14%,75cl
51,//cdn.shopify.com/s/files/1/0097/8128/0834/products/QuintaAusas_Interpretation2018TheGoodWineShop_1024x1024.jpg?v=1664966845,"Quinta Ausas, Interpretacion 2016",63.00,Red ,Tempranillo,Spain,Ribera del Duero,15%,75cl
52,//cdn.shopify.com/s/files/1/0097/8128/0834/products/AlbertoOrte_EscaladadoSilTinto2019TheGoodWineShop_1024x1024.jpg?v=1664964826,"Alberto Orte, Escalada do Sil Tinto 2019",36.00,Red ,Merenzao,Spain,Valdeorras,12.5%,75cl
53,//cdn.shopify.com/s/files/1/0097/8128/0834/products/AlbertoOrte_EscaladadoSilBlanco2019TheGoodWineShop_1024x1024.jpg?v=1664963763,"Alberto Orte, Escalada do Sil Blanco 2019",42.50,White ,Godello,Spain,Valdeorras,13.5%,75cl
54,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChezJau_RivesaltesAmbre2007_50cl_TheGoodWineShop_1024x1024.jpg?v=1664891627,"Chez Jau, Rivesaltes Ambre 2007 (50cl)",17.50,Sweet ,Grenache Blanc,France,Languedoc-Roussillon,18%,50cl
